Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Formulation Compatibility,Molecular Weight,LogP,SMILES,Suppliers
(E)-2-Hexen-1-yl Acetate (FEMA 2564),2497-18-9,[(E)-hex-2-enyl] acetate,Unclassified,,C8 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),142.2,1.91,CCCC=CCOC(C)=O,MySkinRecipes
(E)-5-Tangerine Acetate,3239-35-8,"[(5E)-6,10-dimethylundeca-5,9-dien-2-yl] acetate",Unclassified,,C15 O2,Ester,Aliphatic,No,Lipophilic (Oil/Wax Compatible),238.37,4.41,CC(=O)OC(C)CCC=C(C)CCC=C(C)C,MySkinRecipes
(Z)-3-Hexen-1-yl Lactate (FEMA 3690),61931-81-5,[(Z)-hex-3-enyl] 2-hydroxypropanoate,Unclassified,,C9 O3,"Ester, Secondary Alcohol",Aliphatic,No,Standard (Alcohol Compatible),172.22,1.27,CCC=CCCOC(=O)C(C)O,MySkinRecipes
(Z)-3-Octen-1-ol (FEMA 3467),20125-84-2,(Z)-oct-3-en-1-ol,Unclassified,,C8 O1,Primary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),128.21,2.12,CCCCC=CCCO,MySkinRecipes
(Z)-4-Phenylbut-3-ene-123-Triol (FEMA 2129),1319-88-6,"(Z)-4-phenylbut-3-ene-1,2,3-triol",Unclassified,,C10 O3,"Primary Alcohol, Secondary Alcohol",Aromatic (Benzene),No,Hydrophilic (Water Compatible),180.2,0.94,OCC(O)C(O)=Cc1ccccc1,MySkinRecipes
"(Z)-5-Octenoate, methyl (FEMA-4165)",41654-15-3,methyl (Z)-oct-5-enoate,Unclassified,,C9 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),156.22,2.3,CCC=CCCCC(=O)OC,MySkinRecipes
(Z)-Hept-4-Enal (FEMA 3289),6728-31-0,(Z)-hept-4-enal,Unclassified,,C7 O1,Aldehyde,Aliphatic,No,Standard (Alcohol Compatible),112.17,1.93,CCC=CCCC=O,MySkinRecipes
(Z)-Hex-3-Enyl-2-Methylbutanoate (FEMA 3497),53398-85-9,[(Z)-hex-3-enyl] 2-methylbutanoate,Unclassified,,C11 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),184.28,2.93,CCC=CCCOC(=O)C(C)CC,MySkinRecipes
(Z)-Hex-3-Enyl-2-Oxopropanoate (FEMA 3934),68133-76-6,[(Z)-hex-3-enyl] 2-oxopropanoate,Unclassified,,C9 O3,"Ester, Ketone",Aliphatic,No,Standard (Alcohol Compatible),170.21,1.47,CCC=CCCOC(=O)C(C)=O,MySkinRecipes
(Z)-Hex-4-En-1-ol (FEMA 3430),928-91-6,(Z)-hex-4-en-1-ol,Unclassified,,C6 O1,Primary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),100.16,1.33,CC=CCCCO,MySkinRecipes
(Z)-Non-6-Enal (FEMA 3580),2277-19-2,(Z)-non-6-enal,Unclassified,,C9 O1,Aldehyde,Aliphatic,No,Standard (Alcohol Compatible),140.23,2.71,CCC=CCCCCC=O,MySkinRecipes
(Z)-Oct-5-Enal (FEMA 3749),41547-22-2,(Z)-oct-5-enal,Unclassified,,C8 O1,Aldehyde,Aliphatic,No,Standard (Alcohol Compatible),126.2,2.32,CCC=CCCCC=O,MySkinRecipes
