SKU,Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Estimated Note (Volatility),Formulation Compatibility,Molecular Weight,LogP,SMILES
5EW07840,2 3-Dimethyl Pyrazine 1% in DPG from PerfumersWorld,5910-89-4,"2,3-DIMETHYLPYRAZINE",Gourmet (Nutty),Top,C6 N2,Pyrazine,Aromatic (Heterocycle),Yes,Top Note,Standard (Alcohol Compatible),108.14,1.09,CC1=NC=CN=C1C
5EW20137,2 3-Dimethyl Pyrazine 10% in DPG from PerfumersWorld,5910-89-4,"2,3-DIMETHYLPYRAZINE",Gourmet (Nutty),Top,C6 N2,Pyrazine,Aromatic (Heterocycle),Yes,Top Note,Standard (Alcohol Compatible),108.14,1.09,CC1=NC=CN=C1C
4EW07503,2 3-Dimethyl Pyrazine from PerfumersWorld,5910-89-4,"2,3-DIMETHYLPYRAZINE",Gourmet (Nutty),Top,C6 N2,Pyrazine,Aromatic (Heterocycle),Yes,Top Note,Standard (Alcohol Compatible),108.14,1.09,CC1=NC=CN=C1C
8F3094001657,2-Acetyl Pyrazine (Powder) from SimpleScentsDIY,22047-25-2,Acetylpyrazine,Gourmet (Roasted),Heart-Base,C6 O1 N2,"Ketone, Pyrazine",Aromatic (Heterocycle),Yes,Top Note,Hydrophilic (Water Compatible),122.13,0.68,CC(=O)C1=NC=CN=C1
5EN13769,2-Acetyl Pyrazine 1% in DPG from PerfumersWorld,22047-25-2,Acetylpyrazine,Gourmet (Roasted),Heart-Base,C6 O1 N2,"Ketone, Pyrazine",Aromatic (Heterocycle),Yes,Top Note,Hydrophilic (Water Compatible),122.13,0.68,CC(=O)C1=NC=CN=C1
1EN13109,2-Acetyl Pyrazine from PerfumersWorld,22047-25-2,Acetylpyrazine,Gourmet (Roasted),Heart-Base,C6 O1 N2,"Ketone, Pyrazine",Aromatic (Heterocycle),Yes,Top Note,Hydrophilic (Water Compatible),122.13,0.68,CC(=O)C1=NC=CN=C1
5FC07623,2-Methyl-2-Pentenoic Acid 10% in DPG from PerfumersWorld,6297-41-2,Butyl 2-methylvalerate,Fruit (Strawberry),Top,C10 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),172.27,2.77,CCCCOC(=O)C(C)CCC
4FC07622,2-Methyl-2-Pentenoic Acid from PerfumersWorld,3142-72-1,DTXSID0051998,Fruit (Strawberry),Top,C6 O2,Carboxylic Acid,Aliphatic,No,Top Note,Standard (Alcohol Compatible),114.14,1.43,CCC=C(C)C(=O)O
4FD00001,2-Methylbutyl 2-Methylbutyrate from PerfumersWorld,2445-78-5,2-METHYLBUTYL 2-METHYLBUTYRATE,Fruit (Apple),Top,C10 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),172.27,2.62,CCC(C)COC(=O)C(C)CC
4FY22527,2-Octen-4-one from PerfumersWorld,4643-27-0,2-Octen-4-one,Earthy (Mushroom),Heart,C8 O1,Ketone,Aliphatic,No,Top Note,Standard (Alcohol Compatible),126.2,2.32,CCCCC(=O)C=CC
5ES13952,2-iso Propyl 4 Methyl Thiazole 1% in DPG from PerfumersWorld,15679-13-7,2-Isopropyl-4-methylthiazole,Facet (Roasted),Modifier,C7 N1 S1,Thiazole,Aromatic (Heterocycle),Yes,Top Note,Standard (Alcohol Compatible),141.24,2.57,CC1=CSC(=N1)C(C)C
4ES11805,2-iso Propyl 4 Methyl Thiazole from PerfumersWorld,15679-13-7,2-Isopropyl-4-methylthiazole,Facet (Roasted),Modifier,C7 N1 S1,Thiazole,Aromatic (Heterocycle),Yes,Top Note,Standard (Alcohol Compatible),141.24,2.57,CC1=CSC(=N1)C(C)C
5VD07562,6-Methyl Coumarin 10% in DPG from PerfumersWorld,92-48-8,6-Methylcoumarin,Gourmet (Coconut),Base,C10 O2,"Ether, Lactone","Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Heart Note,Standard (Alcohol Compatible),160.17,2.1,CC1=CC2=C(C=C1)OC(=O)C=C2
1VD00002,6-Methyl Coumarin from PerfumersWorld,92-48-8,6-Methylcoumarin,Gourmet (Coconut),Base,C10 O2,"Ether, Lactone","Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Heart Note,Standard (Alcohol Compatible),160.17,2.1,CC1=CC2=C(C=C1)OC(=O)C=C2
4FG02943,Acetic Acid from PerfumersWorld,64-19-7,acetic acid,Vinegar,Top,C2 O2,Carboxylic Acid,Aliphatic,No,Top Note,Hydrophilic (Water Compatible),60.05,0.09,CC(=O)O
5DV09244,Acetoin 10% in DPG from PerfumersWorld,513-86-0,acetoin,Gourmet (Buttery),Heart,C4 O2,"Ketone, Secondary Alcohol",Aliphatic,No,Top Note,Hydrophilic (Water Compatible),88.11,-0.04,CC(C(=O)C)O
4DV02664,Acetoin from PerfumersWorld,513-86-0,acetoin,Gourmet (Buttery),Heart,C4 O2,"Ketone, Secondary Alcohol",Aliphatic,No,Top Note,Hydrophilic (Water Compatible),88.11,-0.04,CC(C(=O)C)O
1NP00009,Acetophenone from PerfumersWorld,98-86-2,ACETOPHENONE,Floral (Hawthorn),Top,C8 O1,Ketone,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),120.15,1.89,CC(=O)C1=CC=CC=C1
5SP07823,Acetyl Isoeugenol 10% in DPG from PerfumersWorld,93-29-8,RefChem:1087544,Spice (Clove),Heart,C12 O3,"Ester, Ether",Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),206.24,2.65,CC=CC1=CC(=C(C=C1)OC(=O)C)OC
1SP00011,Acetyl Isoeugenol from PerfumersWorld,93-29-8,RefChem:1087544,Spice (Clove),Heart,C12 O3,"Ester, Ether",Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),206.24,2.65,CC=CC1=CC(=C(C=C1)OC(=O)C)OC
5GA08479,Adoxal 10% in DPG from PerfumersWorld,141-13-9,Adoxal,Water (Fresh),Top,C14 O1,Aldehyde,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),210.36,4.37,CC(CCCC(C)C=O)CCC=C(C)C
